,GLD,BAR,UGL,DBP,ZI,ZG
2021-05-03,167.84,17.797,59.1,50.18,49.91,129.11
2021-05-04,166.56,17.665,58.17,49.74,48.5,123.57
2021-05-05,167.31,17.75,58.74,49.9,46.48,115.27
2021-05-06,170.06,18.04,60.63,50.89,45.57,114.01
2021-05-07,171.6,18.2,61.84,51.35,42.98,119.4
2021-05-10,172.14,18.255,62.19,51.27,42.53,113.85
2021-05-11,172.15,18.255,62.14,51.48,43.31,116.14
2021-05-12,170.43,18.08,60.92,50.8955,42.02,109.88
2021-05-13,171.14,18.16,61.4038,51.05,39.711,108.3
2021-05-14,172.68,18.32,62.48,51.5,40.16,113.33
2021-05-17,174.72,18.54,64.05,52.28,39.99,111.59
2021-05-18,175.01,18.579,64.26,52.4499,40.68,110.46
2021-05-19,175.16,18.58,64.3194,52.259,41.33,109.84
2021-05-20,175.96,18.66,64.86,52.2952,43.2,113.85
2021-05-21,176.04,18.68,65.0019,52.31,42.36,111.51
2021-05-24,176.38,18.705,65.21,52.55,42.83,114.81
2021-05-25,177.93,18.8796,66.42,52.98,42.13,113.81
2021-05-26,177.63,18.84,66.1299,52.74,42.95,116.31
2021-05-27,177.78,18.84,66.22,52.9299,44.22,116.72
2021-05-28,178.31,18.915,66.6426,52.7776,43.84,118.269
2021-06-01,177.93,18.875,66.33,52.95,42.75,115.68
2021-06-02,178.75,18.96,66.985,53.245,43.52,113.53
2021-06-03,175.25,18.59,64.3,52.0989,41.8,110.27
2021-06-04,177.17,18.79,65.73,52.74,44.23,110.45
2021-06-07,177.88,18.87,66.3374,52.85,44.755,114.41
2021-06-08,177.3,18.805,65.82,52.7,44.75,115.27
2021-06-09,176.97,18.765,65.57,52.66,44.88,113.81
2021-06-10,177.73,18.855,66.26,52.75,46.32,112.67
2021-06-11,175.7,18.635,64.61,52.39,46.43,113.47
2021-06-14,174.73,18.54,63.84,52.04,46.34,116.58
2021-06-15,174.09,18.46,63.37,51.94,44.99,111.21
2021-06-16,171.09,18.14,61.1918,50.97,49.02,108.83
2021-06-17,165.87,17.605,57.4774,49.21,50.6,113.66
2021-06-18,164.9,17.51,56.71,49.11,51.4,117.99
2021-06-21,166.93,17.715,58.0671,49.46,52.0,113.8
2021-06-22,166.26,17.64,57.64,49.44,51.87,115.66
2021-06-23,166.17,17.63,57.56,49.43,52.78,118.15
2021-06-24,166.02,17.61,57.48,49.3799,53.18,121.87
2021-06-25,166.58,17.675,57.805,49.415,53.85,118.87
2021-06-28,166.58,17.67,57.81,49.54,53.42,124.55
2021-06-29,164.82,17.495,56.6,48.9417,53.43,124.59
2021-06-30,165.65,17.575,57.22,49.21,52.17,122.54
2021-07-01,166.21,17.635,57.6,49.41,51.4,121.48
2021-07-02,167.32,17.76,58.32,49.86,51.82,117.92
2021-07-06,168.12,17.85,58.95,49.76,52.6,120.35
2021-07-07,168.78,17.905,59.38,49.95,51.59,119.18
2021-07-08,168.67,17.9,59.3,49.7799,51.82,114.58
2021-07-09,169.2,17.96,59.67,50.1,52.645,116.7
